offer_id	first_day_exposition	last_day_exposition	last_price	floor	open_plan	rooms	studio	area	kitchen_area	living_area	agent_fee	renovation	offer_type	category_type	unified_address	building_id
3375339906996937398	2015-12-09T00:00:00+03:00	2017-05-17T00:00:00+03:00	35500.0	5	False	1	False	45.0	10.0	23.0	100.0	0.0	2	2	Россия, Санкт-Петербург, Кременчугская улица, 9к1	2673073420900495464
5141797489723566931	2016-04-20T00:00:00+03:00	2016-05-21T00:00:00+03:00	18000.0	6	False	1	False	40.0	10.0	20.0		0.0	2	2	Россия, Санкт-Петербург, улица Ушинского, 3к3	733773556320921672
6542544035877148416	2018-07-24T00:00:00+03:00	2018-07-26T00:00:00+03:00	45000.0	5	False	3	False	85.0	17.0	56.0	50.0	10.0	2	2	Россия, Санкт-Петербург, Московский проспект, 153	4373184457909325010
7070412999972698369	2018-07-19T00:00:00+03:00	2018-08-02T00:00:00+03:00	35000.0	5	False	3	False	66.0	12.0	41.0	50.0		2	2	Россия, Санкт-Петербург, Трамвайный проспект, 13к1	5756125609575294395
1824382788492958977	2018-02-24T00:00:00+03:00	2018-03-26T00:00:00+03:00	16000.0	1	False	1	False	35.0			50.0		2	2	Россия, Санкт-Петербург, шоссе Революции, 112	1359441422499894685
103924670961968749	2017-02-11T00:00:00+03:00	2017-02-12T00:00:00+03:00	40000.0	4	False	1	False	55.0				0.0	2	2	Россия, Санкт-Петербург, 9-я Советская улица, 15	4028958338109341255
1608259743409273600	2018-02-16T00:00:00+03:00	2018-04-02T00:00:00+03:00	3575000.0	2	False	1	False	33.2	6.0	18.5		10.0	1	2	Россия, Санкт-Петербург, улица Шелгунова, 39	3434079020108720721
2918744715164398336	2015-04-19T00:00:00+03:00	2018-08-20T00:00:00+03:00	18000.0	5	False	1	False	37.0	10.0	17.0	0.0	3.0	2	2	Россия, Санкт-Петербург, улица Отважных, 2к2	4119705668024496147
5316960542992526231	2016-11-23T00:00:00+03:00	2016-12-24T00:00:00+03:00	2560000.0	22	False	1	False	36.0	9.5	16.0		0.0	1	2	Россия, Санкт-Петербург, Русановская улица, 11	544300091686257253
5538104834519711500	2014-11-29T00:00:00+03:00	2016-07-12T00:00:00+03:00	7201000.0	1	False	3	False	84.15	16.89	47.46		0.0	1	2	Россия, Ленинградская область, Всеволожский район, Заневское городское поселение, деревня Кудрово	927600617677788652
180937727291329939	2015-06-16T00:00:00+03:00	2016-10-30T00:00:00+03:00	14500000.0	15	False	3	False	108.4	20.2	58.9		0.0	1	2	Россия, Санкт-Петербург, проспект Луначарского, 11к1	3271810337494402643
6297134284004710794	2018-07-01T00:00:00+03:00	2018-07-08T00:00:00+03:00	8323548.0	3	False	3	False	61.76					1	2	Россия, Санкт-Петербург, Дальневосточный проспект, 12к2	9051208548629125201
5277879	2016-02-01T00:00:00+03:00	2017-02-15T00:00:00+03:00	720000.0	1	False	1	False	36.0	8.4	17.3		0.0	1	2	Россия, Ленинградская область, Сланцевское городское поселение, Сланцы, улица Максима Горького, 26	1941861480936684460
2411511983392380417	2017-01-27T00:00:00+03:00	2017-02-22T00:00:00+03:00	35000.0	7	False	3	False	50.0			50.0	0.0	2	2	Россия, Санкт-Петербург, проспект Энгельса, 121к2	6711366030409519380
6302977522902373921	2016-12-09T00:00:00+03:00	2017-06-30T00:00:00+03:00	30000.0	13	False	1	False	38.0	6.0	18.0		0.0	2	2	Россия, Санкт-Петербург, улица Кораблестроителей, 39	8169603814449948258
7947148333741250561	2018-03-09T00:00:00+03:00	2018-04-08T00:00:00+03:00	30000.0	4	False	3	False	72.0			60.000004		2	2	Россия, Санкт-Петербург, Репищева улица, 9	7286254416044938669
4768875884427103764	2015-09-15T00:00:00+03:00	2016-10-07T00:00:00+03:00	5750000.0	7	False	3	False	67.5		49.0		0.0	1	2	Россия, Санкт-Петербург, Северный проспект, 6к1	8731650932589992681
5614092655198868770	2015-08-21T00:00:00+03:00	2016-03-28T00:00:00+03:00	4119776.0	17	False	2	False	50.7	8.2	27.9		0.0	1	2	Россия, Санкт-Петербург, Невский район, муниципальный округ Народный, Русановская улица, 19к2Б	3959909498036690513
8867625833095522352	2018-04-20T00:00:00+03:00	2018-05-22T00:00:00+03:00	39000.0	5	False	2	False	65.0	10.0	38.0	50.0		2	2	Россия, Санкт-Петербург, улица Ленина, 38	441884176311087207
6278491819191331017	2017-06-09T00:00:00+03:00	2017-06-16T00:00:00+03:00	22000.0	9	False	2	False	55.0				0.0	2	2	Россия, Санкт-Петербург, проспект Маршала Блюхера, 42	2551218063427564879
6903770213371126016	2017-12-18T00:00:00+03:00	2018-01-15T00:00:00+03:00	16000.0	14	False	0	True	32.0		18.0	0.0		2	2	Россия, Санкт-Петербург, Ковалёвская улица, 20к3	8677609059882871145
5165728	2016-01-24T00:00:00+03:00	2016-07-27T00:00:00+03:00	45000.0	1	False	3	False	69.0				10.0	2	2	Россия, Санкт-Петербург, Лиговский проспект, 75-77	1534719219929375213
3367957178589097217	2018-03-29T00:00:00+03:00	2018-04-02T00:00:00+03:00	19000.0	2	False	1	False	31.0				7.0	2	2	Россия, Санкт-Петербург, Большая Пороховская улица, 44к3	7493155424752824868
7138735856620972545	2016-04-08T00:00:00+03:00	2016-04-15T00:00:00+03:00	25000.0	4	False	1	False	41.0	16.0	16.0	100.0	0.0	2	2	Россия, Санкт-Петербург, Пушкинский район, Пушкин, улица Глинки, 16	8038395693131105942
3376106655209436972	2017-10-01T00:00:00+03:00	2017-10-04T00:00:00+03:00	50000.0	2	False	3	False	85.0	24.0	52.0	100.0	0.0	2	2	Россия, Санкт-Петербург, 15-я линия Васильевского острова, 34	3210205768735726166
5028522704318170405	2015-07-09T00:00:00+03:00	2017-01-09T00:00:00+03:00	104784000.0	3	False	4	False	218.3	23.0	103.6		6.0	1	2	Россия, Санкт-Петербург, набережная реки Фонтанки, 76к2	8192868485509619740
6125758882360194560	2017-12-01T00:00:00+03:00	2018-02-14T00:00:00+03:00	20000.0	2	False	2	False	53.0	9.0	26.0	40.0		2	2	Россия, Ленинградская область, Всеволожский район, Бугровское сельское поселение, поселок Бугры, Школьная улица, 11к1	6976757955270656379
7253501427948338945	2017-03-05T00:00:00+03:00	2018-04-08T00:00:00+03:00	18000.0	4	False	1	False	41.0	10.0	20.0	50.0	11.0	2	2	Россия, Санкт-Петербург, Парашютная улица, 56к2	6957418200792267848
2812245546933582848	2017-02-12T00:00:00+03:00	2017-07-26T00:00:00+03:00	3500000.0	6	False	1	False	34.5	8.5	18.3		3.0	1	2	Россия, Санкт-Петербург, Камышовая улица, 48к3	5332522568154742689
5462912	2016-02-26T00:00:00+03:00	2016-04-01T00:00:00+03:00	16000.0	2	False	1	False	36.0	7.0	19.5		3.0	2	2	Россия, Санкт-Петербург, Планерная улица, 79	3841394630971259752
9069199666282275446	2017-12-30T00:00:00+03:00	2018-06-10T00:00:00+03:00	2350000.0	6	False	2	False	39.0	5.0	27.0			1	2	Россия, Ленинградская область, Выборг, Крепостная улица, 49	6155143845452866756
9174606537142303898	2015-04-08T00:00:00+03:00	2016-11-10T00:00:00+03:00	15000000.0	3	False	2	False	80.0	20.0	32.5		0.0	1	2	Россия, Санкт-Петербург, Большая Морская улица, 49	8010764606439654862
2554639205168989210	2018-05-12T00:00:00+03:00	2018-08-13T00:00:00+03:00	6000000.0	3	False	2	False	55.2	7.7	35.1			1	2	Россия, Санкт-Петербург, Новолитовская улица, 5	1111495217659031773
5639023943049949199	2015-10-27T00:00:00+03:00	2018-08-15T00:00:00+03:00	29989158.0	7	False	4	False	169.1	22.04	101.35		5.0	1	2	Россия, Санкт-Петербург, Смольный проспект, 17	8940290802509467669
9174606537144082555	2016-10-17T00:00:00+03:00	2017-08-10T00:00:00+03:00	22000.0	7	False	1	False	38.7	12.0	18.0		0.0	2	2	Россия, Санкт-Петербург, проспект Славы, 40к6	1171360093741578029
4768875884427106555	2015-10-19T00:00:00+03:00	2016-02-06T00:00:00+03:00	2598000.0	1	False	1	False	31.0		14.0		0.0	1	2	Россия, Санкт-Петербург, Пушкинский район, посёлок Шушары, Ленсоветовский, 27	2832911468815315489
9174606537143193810	2015-12-22T00:00:00+03:00	2018-02-08T00:00:00+03:00	4500000.0	3	False	3	False	72.0	15.0	49.0		0.0	1	2	Россия, Ленинградская область, Всеволожск, улица Комсомола, 27	7796669142377052062
6800288493777751553	2016-04-28T00:00:00+03:00	2016-10-30T00:00:00+03:00	3790000.0	17	False	1	False	42.0	9.0	20.0		2.0	1	2	Россия, Санкт-Петербург, Ново-Александровская улица, 14	2852687330391566599
9123144796009852673	2017-01-04T00:00:00+03:00	2017-03-21T00:00:00+03:00	20000.0	7	False	1	False	37.0	9.0	17.0	50.0	0.0	2	2	Россия, Санкт-Петербург, посёлок Парголово, улица Фёдора Абрамова, 20к1	4731794338099303624
7622724872266628116	2017-05-02T00:00:00+03:00	2017-05-28T00:00:00+03:00	23000.0	6	False	1	False	43.0	10.0	18.0	100.0	0.0	2	2	Россия, Санкт-Петербург, Заставская улица, 46к1	465752808401383109
3376106655867703777	2017-07-02T00:00:00+03:00	2017-07-02T00:00:00+03:00	50000.0	23	False	2	False	65.0	13.0	31.0	100.0	0.0	2	2	Россия, Санкт-Петербург, проспект Народного Ополчения, 10	6307131218310700284
4693853	2015-11-27T00:00:00+03:00	2016-01-11T00:00:00+03:00	2000000.0	5	False	2	False	53.0	8.0	28.0		11.0	1	2	Россия, Ленинградская область, Кингисеппский район, Ивангород, улица Котовского, 17	4985682244991170583
4042456865238061056	2017-03-03T00:00:00+03:00	2017-03-17T00:00:00+03:00	20000.0	8	False	2	False	54.0	9.0	36.0	50.0	3.0	2	2	Россия, Санкт-Петербург, проспект Ветеранов, 110	6845097171321796897
9069199666260173624	2014-11-27T00:00:00+03:00	2016-01-31T00:00:00+03:00	3700000.0	1	False	1	False	39.2	10.7	20.1		0.0	1	2	Россия, Санкт-Петербург, улица Есенина, 16к1	7215469126417658049
1292850674343878401	2017-11-01T00:00:00+03:00	2018-02-08T00:00:00+03:00	18000.0	10	False	1	False	45.0	11.0	17.0			2	2	Россия, Санкт-Петербург, Октябрьская набережная, 122к1	4742923692073185886
8335167784015235420	2017-10-12T00:00:00+03:00	2017-11-16T00:00:00+03:00	4980000.0	5	False	3	False	64.2	6.9	43.5	0.0	6.0	1	2	Россия, Санкт-Петербург, улица Пограничника Гарькавого, 36к1	7164168767976837253
5565310413828749697	2018-07-10T00:00:00+03:00	2018-07-11T00:00:00+03:00	55000.0	3	False	2	False	68.0			100.0		2	2	Россия, Санкт-Петербург, Кременчугская улица, 9	463470271789729137
2072065128145573786	2016-03-04T00:00:00+03:00	2017-03-10T00:00:00+03:00	14937930.0	2	False	3	False	131.0	16.0	67.0		0.0	1	2	Россия, Санкт-Петербург, Московский проспект, 139	4373184457909324954
86002359204064769	2018-07-03T00:00:00+03:00	2018-08-08T00:00:00+03:00	3199000.0	11	False	0	True	25.2		18.3		10.0	1	2	Россия, Санкт-Петербург, Богатырский проспект, 51к1	5381016492147287954
7008505854414576129	2016-11-15T00:00:00+03:00	2016-11-18T00:00:00+03:00	20000.0	5	False	2	False	45.0			50.0	3.0	2	2	Россия, Санкт-Петербург, Бестужевская улица, 61	7493310672868138954
5251075	2016-01-29T00:00:00+03:00	2016-07-19T00:00:00+03:00	25000.0	3	False	2	False	43.0	6.0	28.0	50.0	3.0	2	2	Россия, Санкт-Петербург, проспект Тореза, 17	4203209074107983634
7171863875646134037	2016-05-13T00:00:00+03:00	2018-08-13T00:00:00+03:00	29900000.0	2	False	3	False	130.0	20.0	62.0			1	2	Россия, Санкт-Петербург, Кирочная улица, 31к2	5035424324946635883
6188356809241508097	2017-11-19T00:00:00+03:00	2017-12-09T00:00:00+03:00	5600000.0	15	True	0	False	33.0		23.3			1	2	Россия, Санкт-Петербург, Заставская улица, 46к2	465752808401383108
3395483	2015-07-27T00:00:00+03:00	2016-02-16T00:00:00+03:00	23000.0	4	False	2	False	42.0			100.0	3.0	2	2	Россия, Санкт-Петербург, проспект Наставников, 29к3	2264734232811888067
7175225818956618241	2016-09-17T00:00:00+03:00	2018-01-20T00:00:00+03:00	30000.0	8	False	2	False	42.0					2	2	Россия, Санкт-Петербург, Дачный проспект, 19к5	8280304085470154519
627427629145033437	2018-01-18T00:00:00+03:00	2018-01-23T00:00:00+03:00	25000.0	21	False	1	False	30.0	9.0	14.0	50.0		2	2	Россия, Санкт-Петербург, проспект Луначарского, 11к1	3271810337494402643
7340091001892473489	2016-01-30T00:00:00+03:00	2016-10-30T00:00:00+03:00	8300000.0	7	False	2	False	71.0	13.0	36.0		0.0	1	2	Россия, Санкт-Петербург, Комендантский проспект, 11А	8261318597948348933
1896730477080364106	2017-08-26T00:00:00+03:00	2017-09-02T00:00:00+03:00	60000.0	8	False	3	False	105.0	10.0	81.0	100.0	0.0	2	2	Россия, Санкт-Петербург, Земледельческая улица, 5к2	1026065340710002831
7238293194987522305	2017-05-30T00:00:00+03:00	2018-07-06T00:00:00+03:00	4300000.0	9	False	2	False	50.0	6.8	30.9		2.0	1	2	Россия, Санкт-Петербург, Северный проспект, 85к1	6019982195354398344
7702410481777214288	2017-04-22T00:00:00+03:00	2018-08-10T00:00:00+03:00	5350000.0	2	False	3	False	80.0					1	2	Россия, Санкт-Петербург, Пушкинский район, посёлок Шушары, территория Детскосельский, Колпинское шоссе, 75	717193202097424692
1518119707542877440	2016-04-07T00:00:00+03:00	2016-09-13T00:00:00+03:00	23000.0	5	False	2	False	50.0	8.0	31.0	100.0	10.0	2	2	Россия, Санкт-Петербург, улица Турку, 27	580795574065610021
